Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
16,Amauri,it ITA,FW,Torino,34,1980,20,7,864,9.6,1,0,1,1,0,0,4,0,0.1,0,0.1,0.1,0.1,Matches
17,Amauri,it ITA,FW,Parma,34,1980,1,0,25,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
18,Felipe Anderson,br BRA,"FW,MF",Lazio,21,1993,32,23,"2,094",23.3,10,6,16,10,0,0,5,0,0.43,0.26,0.69,0.43,0.69,Matches
19,Marco Andreolli,it ITA,DF,Inter,28,1986,6,5,447,5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
20,Mariano Andújar,ar ARG,GK,Napoli,31,1983,15,15,"1,350",15,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
21,Luca Antei,it ITA,DF,Sassuolo,22,1992,8,5,515,5.7,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
22,Luca Antonelli,it ITA,"DF,MF",Genoa,27,1987,19,18,"1,640",18.2,3,1,4,3,0,0,4,0,0.16,0.05,0.22,0.16,0.22,Matches
23,Luca Antonelli,it ITA,"DF,MF",Milan,27,1987,12,12,"1,056",11.7,1,0,1,1,0,0,2,0,0.09,0,0.09,0.09,0.09,Matches
24,Luca Antonini,it ITA,"DF,MF",Genoa,31,1982,7,3,348,3.9,1,0,1,1,0,0,1,0,0.26,0,0.26,0.26,0.26,Matches
25,Siniša Anđelković,si SVN,DF,Palermo,28,1986,32,32,"2,819",31.3,0,0,0,0,0,0,6,1,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
26,Alberto Aquilani,it ITA,MF,Fiorentina,30,1984,25,17,"1,613",17.9,0,0,0,0,0,0,5,0,0,0,0,0,0,Matches
27,Lorenzo Ariaudo,it ITA,DF,Sassuolo,25,1989,2,2,180,2,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
28,Pablo Armero,co COL,"DF,MF",Milan,27,1986,8,6,589,6.5,0,1,1,0,0,0,2,1,0,0.15,0.15,0,0.15,Matches
